source,merchant_id,name,phone,address,city,lat,lng,rating,total_reviews,is_open,url
grabfood,5-C3WWNT6JVJDDA6,"BEO FOOD - Mì Trộn Indomie, Mì Cay Hàn Quốc & Gà Rán",,"BEO FOOD - Mì Trộn Indomie, Mì Cay Hàn Quốc & Gà Rán",Mì Cay Hàn Quốc & Gà Rán,10.743249,106.708629,4.7,806,True,https://food.grab.com/vn/vi/restaurant/5-C3WWNT6JVJDDA6
grabfood,5-CZL3FFWJNECUVN,Ốc Nhung 25K,,Ốc Nhung 25K,Ốc Nhung 25K,10.745438321298806,106.7087523,4.5,2143,True,https://food.grab.com/vn/vi/restaurant/5-CZL3FFWJNECUVN
grabfood,5-C74CLAVYCENCKE,Lắc Lư Quán - Chân gà rút xương - Đường số 51,,Lắc Lư Quán - Chân gà rút xương - Đường số 51,Lắc Lư Quán - Chân Gà Rút Xương - Đường Số 51,10.7410414,106.714749,4.8,4,True,https://food.grab.com/vn/vi/restaurant/5-C74CLAVYCENCKE
grabfood,VNGFVN0000082n,Cháo Lòng Miền Tây - Lê Văn Lương,,Cháo Lòng Miền Tây - Lê Văn Lương,Cháo Lòng Miền Tây - Lê Văn Lương,10.7492835,106.704973,4.0,2854,True,https://food.grab.com/vn/vi/restaurant/VNGFVN0000082n
grabfood,5-C7UFAXTZJFXGVA,Gỏi cuốn - Bò bía - Bún thịt nướng Anh Vũ,,Gỏi cuốn - Bò bía - Bún thịt nướng Anh Vũ,Gỏi Cuốn - Bò Bía - Bún Thịt Nướng Anh Vũ,10.735337,106.729404,3.8,71,True,https://food.grab.com/vn/vi/restaurant/5-C7UFAXTZJFXGVA
grabfood,5-C7NYJ2AVJYDYGN,Hồng Trà Ngô Gia - 460 Nguyễn Thị Thập,,Hồng Trà Ngô Gia - 460 Nguyễn Thị Thập,Hồng Trà Ngô Gia - 460 Nguyễn Thị Thập,10.739466946192492,106.70708564481846,4.6,203,True,https://food.grab.com/vn/vi/restaurant/5-C7NYJ2AVJYDYGN
grabfood,5-C731EP6TEGE2N2,"Tiệm Trà Xanh Đánh - Matcha, Coffee & Tea",,"Tiệm Trà Xanh Đánh - Matcha, Coffee & Tea",Coffee & Tea,10.7356462,106.7390133,5.0,4,True,https://food.grab.com/vn/vi/restaurant/5-C731EP6TEGE2N2
grabfood,5-CZEFVRJUJZECA6,Chuối Chiên Mè - Khoai Lang Lắc,,Chuối Chiên Mè - Khoai Lang Lắc,Chuối Chiên Mè - Khoai Lang Lắc,10.743517,106.72007,4.5,865,True,https://food.grab.com/vn/vi/restaurant/5-CZEFVRJUJZECA6
grabfood,5-C6JXFEJBC7NXNT,Lẩu Cá 69k - 209 Trần Xuân Soạn,,Lẩu Cá 69k - 209 Trần Xuân Soạn,Lẩu Cá 69K - 209 Trần Xuân Soạn,10.752304,106.718255,4.8,690,True,https://food.grab.com/vn/vi/restaurant/5-C6JXFEJBC7NXNT
grabfood,5-C6VJG2BENXXECE,Hồng Trà Ngô Gia 315 Huỳnh Tấn Phát,,Hồng Trà Ngô Gia 315 Huỳnh Tấn Phát,Hồng Trà Ngô Gia 315 Huỳnh Tấn Phát,10.75141,106.728664,4.5,580,True,https://food.grab.com/vn/vi/restaurant/5-C6VJG2BENXXECE
grabfood,5-C7DUBEVEKFUFDA,Hủ Tiếu Mực Phú Bến Tre - nguyễn thị thập,,Hủ Tiếu Mực Phú Bến Tre - nguyễn thị thập,Hủ Tiếu Mực Phú Bến Tre - Nguyễn Thị Thập,10.737786,106.726646,4.4,471,True,https://food.grab.com/vn/vi/restaurant/5-C7DUBEVEKFUFDA
grabfood,5-C7UTUBBYAF3WT2,Cơm Chiên Chảo Lửa,,Cơm Chiên Chảo Lửa,Cơm Chiên Chảo Lửa,10.732396440427735,106.70003465881587,,,True,https://food.grab.com/vn/vi/restaurant/5-C7UTUBBYAF3WT2
grabfood,5-C733VKMWR76CAX,"Ka Coffee, Matcha & Tea",,"Ka Coffee, Matcha & Tea",Matcha & Tea,10.746868,106.709588,4.8,27,True,https://food.grab.com/vn/vi/restaurant/5-C733VKMWR76CAX
grabfood,5-C3C2J6N2JRNAAX,"Chân Gà Sốt Thái, Trứng Non - Cá Viên Chiên Nước Mắm",,"Chân Gà Sốt Thái, Trứng Non - Cá Viên Chiên Nước Mắm",Trứng Non - Cá Viên Chiên Nước Mắm,10.759449203000472,106.70911010624877,4.7,40,True,https://food.grab.com/vn/vi/restaurant/5-C3C2J6N2JRNAAX
grabfood,5-C73UEY4EBF43SA,JEJU CHICKEN - GÀ RÁN HÀN QUỐC - CN PHÚ MỸ HƯNG,,JEJU CHICKEN - GÀ RÁN HÀN QUỐC - CN PHÚ MỸ HƯNG,Jeju Chicken - Gà Rán Hàn Quốc - Cn Phú Mỹ Hưng,10.730309055404165,106.70887388080749,4.6,161,True,https://food.grab.com/vn/vi/restaurant/5-C73UEY4EBF43SA
grabfood,5-C65JNVJ2BF6ZAT,QUÁN ỐC THÀNH ĐẠT - HUỲNH TẤN PHÁT,,QUÁN ỐC THÀNH ĐẠT - HUỲNH TẤN PHÁT,Quán Ốc Thành Đạt - Huỳnh Tấn Phát,10.7266407,106.7377589,4.4,201,True,https://food.grab.com/vn/vi/restaurant/5-C65JNVJ2BF6ZAT
grabfood,5-C7MKMCDXJNXXPA,Cơm Tấm - Mì Trộn - Kim Toàn,,Cơm Tấm - Mì Trộn - Kim Toàn,Cơm Tấm - Mì Trộn - Kim Toàn,10.741525509957306,106.73052779999999,5.0,4,True,https://food.grab.com/vn/vi/restaurant/5-C7MKMCDXJNXXPA
grabfood,5-C4A3TBEJL661LN,Mì Cay - Bún Đậu Mắm Tôm - Ăn Vặt Lu Na,,Mì Cay - Bún Đậu Mắm Tôm - Ăn Vặt Lu Na,Mì Cay - Bún Đậu Mắm Tôm - Ăn Vặt Lu Na,10.747842187058268,106.70868839426953,4.4,573,True,https://food.grab.com/vn/vi/restaurant/5-C4A3TBEJL661LN
grabfood,5-C73VTZMDC8JFKE,KIMGANE KIMBAP NHÀ HỌ KIM,,KIMGANE KIMBAP NHÀ HỌ KIM,Kimgane Kimbap Nhà Họ Kim,10.73183847309376,106.70806998819461,4.7,9,True,https://food.grab.com/vn/vi/restaurant/5-C73VTZMDC8JFKE
grabfood,5-C4B2TABAA8KKJT,Xiên Que Mon Mon,,Xiên Que Mon Mon,Xiên Que Mon Mon,10.736234,106.723602,4.2,5,True,https://food.grab.com/vn/vi/restaurant/5-C4B2TABAA8KKJT
grabfood,5-C73WWEUYNKXCRT,Bánh Tráng Xiu Xiu,,Bánh Tráng Xiu Xiu,Bánh Tráng Xiu Xiu,10.722786,106.735832,,,True,https://food.grab.com/vn/vi/restaurant/5-C73WWEUYNKXCRT
grabfood,5-C7BAEU6HE2BDNN,Ti's Food - Tu Oppa Chicken,,Ti's Food - Tu Oppa Chicken,Ti'S Food - Tu Oppa Chicken,10.744583,106.730743,4.7,391,True,https://food.grab.com/vn/vi/restaurant/5-C7BAEU6HE2BDNN
grabfood,5-C733TBXEV2MHAT,Chuanxiaochu Chinese Restaurant Phú Mỹ Hưng,,Chuanxiaochu Chinese Restaurant Phú Mỹ Hưng,Chuanxiaochu Chinese Restaurant Phú Mỹ Hưng,10.731467,106.707203,,,True,https://food.grab.com/vn/vi/restaurant/5-C733TBXEV2MHAT
grabfood,5-C6CJNT3JUGLDEJ,Trà Sữa HongKong Baley - Nguyễn Thị Thập,,Trà Sữa HongKong Baley - Nguyễn Thị Thập,Trà Sữa Hongkong Baley - Nguyễn Thị Thập,10.73835800618641,106.7138526351171,4.8,465,True,https://food.grab.com/vn/vi/restaurant/5-C6CJNT3JUGLDEJ
grabfood,5-C3NWLGM1NGABR6,3 Râu - Gà Rán & Pizza & Trà Sữa Và Rau Má Mix - 289 Tôn Đản,,3 Râu - Gà Rán & Pizza & Trà Sữa Và Rau Má Mix - 289 Tôn Đản,3 Râu - Gà Rán & Pizza & Trà Sữa Và Rau Má Mix - 289 Tôn Đản,10.75545,106.70586,4.4,867,True,https://food.grab.com/vn/vi/restaurant/5-C3NWLGM1NGABR6
grabfood,5-C4NDTAAFNPXYVJ,Sinh Tố & Nước Ép - Quán Tân Mỹ,,Sinh Tố & Nước Ép - Quán Tân Mỹ,Sinh Tố & Nước Ép - Quán Tân Mỹ,10.73772507218041,106.71819658170455,4.8,601,True,https://food.grab.com/vn/vi/restaurant/5-C4NDTAAFNPXYVJ
grabfood,5-C2BUT651ALC3FA,Bánh Mì Phượng Hoàng,,Bánh Mì Phượng Hoàng,Bánh Mì Phượng Hoàng,10.737271462434194,106.7183100777084,4.0,2294,True,https://food.grab.com/vn/vi/restaurant/5-C2BUT651ALC3FA
grabfood,5-C35ADGNGBAM1L6,Cơm Gà Xối Mỡ Yes Yes,,Cơm Gà Xối Mỡ Yes Yes,Cơm Gà Xối Mỡ Yes Yes,10.731889,106.700132,3.5,760,True,https://food.grab.com/vn/vi/restaurant/5-C35ADGNGBAM1L6
grabfood,5-C731GGDADF4FE6,18Wan Chuan Xiang Phú Mỹ Hưng,,18Wan Chuan Xiang Phú Mỹ Hưng,18Wan Chuan Xiang Phú Mỹ Hưng,10.731421750000267,106.70713850000176,5.0,1,True,https://food.grab.com/vn/vi/restaurant/5-C731GGDADF4FE6
grabfood,5-C74CFB4HETU1NA,Tiệm lẩu gà cua,,Tiệm lẩu gà cua,Tiệm Lẩu Gà Cua,10.7554305,106.7019297,,,True,https://food.grab.com/vn/vi/restaurant/5-C74CFB4HETU1NA
grabfood,5-C74VT3BBCTTFTA,Shi Lai Yunzhuan,,Shi Lai Yunzhuan,Shi Lai Yunzhuan,10.752110635117504,106.72340865277909,5.0,2,True,https://food.grab.com/vn/vi/restaurant/5-C74VT3BBCTTFTA
grabfood,5-C4CKTXTFGALTLN,BEO Noodle - Mì Trộn Indo & Mì Xào,,BEO Noodle - Mì Trộn Indo & Mì Xào,Beo Noodle - Mì Trộn Indo & Mì Xào,10.743155,106.708455,4.8,1640,True,https://food.grab.com/vn/vi/restaurant/5-C4CKTXTFGALTLN
grabfood,5-C7X2NEWAKGDKJA,"Cô 2 Ú - Mỳ Cay, Mỳ Xào, Mỳ Trộn, Trà Trái Cây Dằm",,"Cô 2 Ú - Mỳ Cay, Mỳ Xào, Mỳ Trộn, Trà Trái Cây Dằm",Trà Trái Cây Dằm,10.7446335,106.7166882,4.4,54,True,https://food.grab.com/vn/vi/restaurant/5-C7X2NEWAKGDKJA
grabfood,5-C73XAPCGARCCR6,ATom - Ăn vặt & Gà ủ muối Ngọ,,ATom - Ăn vặt & Gà ủ muối Ngọ,Atom - Ăn Vặt & Gà Ủ Muối Ngọ,10.749140087066394,106.70661598215975,5.0,1,True,https://food.grab.com/vn/vi/restaurant/5-C73XAPCGARCCR6
grabfood,5-C2AASFLWCXUFWE,Trà Đào Tí Nỵ,,Trà Đào Tí Nỵ,Trà Đào Tí Nỵ,10.74418,106.713616,4.8,5187,True,https://food.grab.com/vn/vi/restaurant/5-C2AASFLWCXUFWE
grabfood,5-CZNDJT5BSBWAEJ,"TƯ - SINH TỐ, NƯỚC ÉP, RAU MÁ - LÝ PHỤC MAN",,"TƯ - SINH TỐ, NƯỚC ÉP, RAU MÁ - LÝ PHỤC MAN",Rau Má - Lý Phục Man,10.74336,106.72761197,4.3,61,True,https://food.grab.com/vn/vi/restaurant/5-CZNDJT5BSBWAEJ
grabfood,5-C7KDCABTAVJGCJ,Hi Restaurant/Chinese Food,,Hi Restaurant/Chinese Food,Hi Restaurant/Chinese Food,10.761647,106.702255,4.0,289,True,https://food.grab.com/vn/vi/restaurant/5-C7KDCABTAVJGCJ
grabfood,5-C74DKFEKL652TX,Ăn Vặt Bếp Nhà Na,,Ăn Vặt Bếp Nhà Na,Ăn Vặt Bếp Nhà Na,10.7428707,106.7141283,4.0,2,True,https://food.grab.com/vn/vi/restaurant/5-C74DKFEKL652TX
grabfood,5-C73KVENDVT6TRX,Bếp Nhà Na - Tokkboki & Chân gà Q7 - Lê Văn Lương,,Bếp Nhà Na - Tokkboki & Chân gà Q7 - Lê Văn Lương,Bếp Nhà Na - Tokkboki & Chân Gà Q7 - Lê Văn Lương,10.7492508,106.7065424,5.0,9,True,https://food.grab.com/vn/vi/restaurant/5-C73KVENDVT6TRX
grabfood,5-C74EEEADEBWXBE,JOKBAL - CANH SƯỜN,,JOKBAL - CANH SƯỜN,Jokbal - Canh Sườn,10.7321666,106.7079253,,,True,https://food.grab.com/vn/vi/restaurant/5-C74EEEADEBWXBE
grabfood,5-C731HFJKEKWJPA,Bếp Ăn - Cô Thư Đường 81 Q7,,Bếp Ăn - Cô Thư Đường 81 Q7,Bếp Ăn - Cô Thư Đường 81 Q7,10.7400699,106.7074021,5.0,2,True,https://food.grab.com/vn/vi/restaurant/5-C731HFJKEKWJPA
grabfood,5-C74CL3TJVRLKT2,Trà Đậm Vị Chà Chà Chà - Huỳnh Tấn Phát,,Trà Đậm Vị Chà Chà Chà - Huỳnh Tấn Phát,Trà Đậm Vị Chà Chà Chà - Huỳnh Tấn Phát,10.723804,106.738945,5.0,8,True,https://food.grab.com/vn/vi/restaurant/5-C74CL3TJVRLKT2
grabfood,5-C74GTE21FGEBC2,Dê FOOD 1991,,Dê FOOD 1991,Dê Food 1991,10.729389796075848,106.7342162423282,5.0,1,True,https://food.grab.com/vn/vi/restaurant/5-C74GTE21FGEBC2
grabfood,5-C6WWEKCGT8JWJJ,Cháo Ếch Singapore A Bảo - Lương Hữu Khánh,,Cháo Ếch Singapore A Bảo - Lương Hữu Khánh,Cháo Ếch Singapore A Bảo - Lương Hữu Khánh,10.768259,106.688278,4.4,1296,True,https://food.grab.com/vn/vi/restaurant/5-C6WWEKCGT8JWJJ
grabfood,5-C6JDAGE1A2MTV6,Cà Phê Muối Chú Long - Classic,,Cà Phê Muối Chú Long - Classic,Cà Phê Muối Chú Long - Classic,10.738691,106.703291,4.5,996,True,https://food.grab.com/vn/vi/restaurant/5-C6JDAGE1A2MTV6
grabfood,5-C65YC7MXGNAZEA,398 Chaoheyou Restaurant,,398 Chaoheyou Restaurant,398 Chaoheyou Restaurant,10.761368179042748,106.70219301962828,4.0,334,True,https://food.grab.com/vn/vi/restaurant/5-C65YC7MXGNAZEA
grabfood,5-C7VBL3CHELKEJN,Fu - Panda,,Fu - Panda,Fu - Panda,10.73189,106.709811,4.0,75,True,https://food.grab.com/vn/vi/restaurant/5-C7VBL3CHELKEJN
grabfood,5-C74AVNJTVXUUTN,Tiệm Trà Sữa Màu Vàng-Trà Mãng cầu-Trần Xuân Soạn - Trần Xuân Soạn,,Tiệm Trà Sữa Màu Vàng-Trà Mãng cầu-Trần Xuân Soạn - Trần Xuân Soạn,Tiệm Trà Sữa Màu Vàng-Trà Mãng Cầu-Trần Xuân Soạn - Trần Xuân Soạn,10.7517451,106.7021296,5.0,2,True,https://food.grab.com/vn/vi/restaurant/5-C74AVNJTVXUUTN
grabfood,5-C4DKAFWEDA4CTE,Đạt Quán,,Đạt Quán,Đạt Quán,10.741615,106.73239,4.4,13,True,https://food.grab.com/vn/vi/restaurant/5-C4DKAFWEDA4CTE
grabfood,5-C4AFTABCFEW3C2,CHIMICO - Cơm Chuẩn Vị Hàn - Nguyễn Trãi,,CHIMICO - Cơm Chuẩn Vị Hàn - Nguyễn Trãi,Chimico - Cơm Chuẩn Vị Hàn - Nguyễn Trãi,10.763192,106.685722,,,True,https://food.grab.com/vn/vi/restaurant/5-C4AFTABCFEW3C2
grabfood,5-C3JTG2ADC3LERT,Món ăn vặt Anh Thư,,Món ăn vặt Anh Thư,Món Ăn Vặt Anh Thư,10.740419,106.727982,4.2,76,True,https://food.grab.com/vn/vi/restaurant/5-C3JTG2ADC3LERT
grabfood,5-C7AWELJKAYXWBA,Bún Đậu Hẻm Chùa,,Bún Đậu Hẻm Chùa,Bún Đậu Hẻm Chùa,10.75868,106.6898,4.6,919,True,https://food.grab.com/vn/vi/restaurant/5-C7AWELJKAYXWBA
